fedid,name,ligue,zip,city,outdoor,indoor,countPlayers,countPlayers1AN,countTeams,countTeams1AN,school
01680142,T.C.DES GENETS RICHWILLER,HAUT RHIN,68120,RICHWILLER,4,1,22,38,0,1,Oui
01680268,TENNIS CLUB OBERHERGHEIM,HAUT RHIN,68127,OBERHERGHEIM,2,0,40,46,2,7,Oui
01680122,T.C. DE VILLAGE NEUF,HAUT RHIN,68128,VILLAGE NEUF,3,1,84,115,1,4,Oui
01680038,T.C. MUNSTER,HAUT RHIN,68140,MUNSTER,4,2,84,105,3,11,Oui
01680097,TC STE MARIE AUX MINES,HAUT RHIN,68160,STE MARIE AUX MINES,2,0,30,43,0,2,Oui
01680088,T.C. ACACIAS RIXHEIM,HAUT RHIN,68170,RIXHEIM,4,1,33,51,3,7,Oui
01680046,COLMAR A.S.P.T.T.,HAUT RHIN,68180,HORBOURG WIHR,5,1,188,169,7,22,Oui
01680214,TC UNGERSHEIM,HAUT RHIN,68190,UNGERSHEIM,2,0,59,80,1,7,Oui
01680151,T.C.DANNEMARIE,HAUT RHIN,68210,DANNEMARIE,2,0,36,48,1,3,Oui
01680327,A.F. TURCKHEIM,HAUT RHIN,68230,TURCKHEIM,4,0,57,186,4,17,Oui
01680028,KAYSERSBERG TENNIS CLUB,HAUT RHIN,68240,KAYSERSBERG,2,0,97,124,3,18,Oui
01680079,T.C.KINGERSHEIM,HAUT RHIN,68260,KINGERSHEIM,3,3,132,148,12,27,Oui
01680189,T.C. DE SUNDHOFFEN,HAUT RHIN,68280,SUNDHOFFEN,2,1,112,120,3,13,Oui
01680040,T.C. SAINT LOUIS,HAUT RHIN,68300,SAINT LOUIS,5,2,210,237,12,28,Oui
01680145,T.C. KUNHEIM,HAUT RHIN,68320,KUNHEIM,3,1,109,133,5,16,Oui
01680103,T.C HUNINGUE,HAUT RHIN,68330,HUNINGUE,5,3,256,299,8,20,Oui
01680031,T.C.ILLBERG MULHOUSE,HAUT RHIN,68350,BRUNSTATT,10,3,346,439,9,30,Oui
