ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
38780149,T.S. FOREST-HILL VERSAILLES,Comité de la LIGUE YVELINES,78000,VERSAILLES,0,4,378,362,10,8,Oui
38780263,TC DU GRAND VERSAILLES,Comité de la LIGUE YVELINES,78000,VERSAILLES,8,5,779,857,14,14,Oui
38780264,T.C. DU MAIL VERSAILLES,Comité de la LIGUE YVELINES,78000,VERSAILLES,4,0,5,171,2,2,Oui
38780123,T.C SAINT GERMAIN BEL AIR,Comité de la LIGUE YVELINES,78100,ST GERMAIN EN LAYE,5,0,509,539,13,12,Oui
38780218,T.C. DES LOGES ST GERMAIN,Comité de la LIGUE YVELINES,78100,ST GERMAIN EN LAYE,18,4,910,1013,24,26,Oui
38780265,U.S. VESINET,Comité de la LIGUE YVELINES,78110,LE VESINET,9,7,853,951,20,21,Oui
38780266,VESINET IBIS TENNIS CLUB,Comité de la LIGUE YVELINES,78110,LE VESINET,4,2,274,343,11,13,Oui
38780157,T.C. DAMMARTIN EN SERVE,Comité de la LIGUE YVELINES,78111,DAMMARTIN EN SERVE,2,0,14,12,4,4,Oui
38780096,A.S. FOURQUEUX SECTION TENNIS,Comité de la LIGUE YVELINES,78112,FOURQUEUX,6,2,402,407,23,19,Oui
38780183,A.S.C.O.H.,Comité de la LIGUE YVELINES,78113,LA HAUTEVILLE,1,0,0,0,0,0,Non
38780032,T.C. MAGNY LES HAMEAUX,Comité de la LIGUE YVELINES,78114,MAGNY LES HAMEAUX,5,2,350,378,21,21,Oui
38780047,T.C. CHATEAUFORT,Comité de la LIGUE YVELINES,78117,CHATEAUFORT,3,0,120,162,17,18,Oui
38780144,TOUSSUS - SPORTS,Comité de la LIGUE YVELINES,78117,TOUSSUS LE NOBLE,2,0,102,132,6,5,Oui
38780447,TC DE CLAIREFONTAINE,Comité de la LIGUE YVELINES,78120,CLAIREFONTAINE EN YVELINES,3,1,109,108,5,6,Oui
38780206,T.C. RAMBOUILLET,Comité de la LIGUE YVELINES,78120,RAMBOUILLET,3,3,377,411,20,19,Oui
38780386,LA CLAIRIERE RAMBOUILLET T.C.,Comité de la LIGUE YVELINES,78120,RAMBOUILLET,6,3,563,573,23,21,Oui
38780066,A.S. SONCHAMP Section Tennis,Comité de la LIGUE YVELINES,78120,SONCHAMP,2,1,23,41,0,0,Oui
38780034,T.C. CRESPIERES,Comité de la LIGUE YVELINES,78121,CRESPIERES,3,0,65,67,2,2,Oui
38780039,T.C. MAREIL SUR MAULDRE,Comité de la LIGUE YVELINES,78124,MAREIL SUR MAULDRE,4,2,163,186,18,18,Oui
38780102,A.S. ORPHIN,Comité de la LIGUE YVELINES,78125,ORPHIN,2,0,21,20,0,0,Oui
38780053,U.S. POIGNY LA FORET,Comité de la LIGUE YVELINES,78125,POIGNY LA FORET,2,0,30,41,2,2,Oui
38780115,C.S.A BASE AERIENNE 107,Comité de la LIGUE YVELINES,78129,VELIZY VILLACOUBLAY AIR,4,3,4,6,0,0,Non
38780180,T.C. CHAPET,Comité de la LIGUE YVELINES,78130,CHAPET,2,0,44,56,4,3,Oui
38780005,E.S.A.M. LES MUREAUX,Comité de la LIGUE YVELINES,78130,LES MUREAUX,2,4,55,70,11,23,Non
38780025,LES MUREAUX VAL DE SEINE TENNIS,Comité de la LIGUE YVELINES,78130,LES MUREAUX,4,4,82,186,9,11,Oui
38780031,T.C. VELIZY VILLACOUBLAY,Comité de la LIGUE YVELINES,78140,VELIZY VILLACOUBLAY,2,2,291,287,10,10,Oui
38780253,T.C. LE CHESNAY TRIANON,Comité de la LIGUE YVELINES,78150,LE CHESNAY,5,6,751,778,15,11,Oui
38780262,T.C. VERSAILLAIS,Comité de la LIGUE YVELINES,78150,LE CHESNAY,2,0,13,116,1,1,Non
38780154,U.S.M. ROCQUENCOURT,Comité de la LIGUE YVELINES,78150,ROCQUENCOURT,3,2,579,610,8,6,Oui
38780132,AXA ASSURANCES,Comité de la LIGUE YVELINES,78160,MARLY LE ROI,5,0,0,9,0,1,Non
38780148,U.S. MARLY LE ROI,Comité de la LIGUE YVELINES,78160,MARLY LE ROI,8,2,415,422,26,24,Oui
38780404,MONTVAL CLUB DE MARLY,Comité de la LIGUE YVELINES,78160,MARLY LE ROI,2,0,16,24,0,0,Oui
38780044,TC LA CELLE SAINT CLOUD,Comité de la LIGUE YVELINES,78170,CELLE ST CLOUD (LA),11,2,397,450,14,14,Oui
38780212,T.C. ST FRANCOIS D'ASSISE,Comité de la LIGUE YVELINES,78170,LA CELLE ST CLOUD,5,0,274,229,11,11,Non
38780075,T.C. IGNYMONTAIN,Comité de la LIGUE YVELINES,78180,MONTIGNY LE BRETONNEUX,6,5,702,682,19,22,Oui
38780153,ASPTT YVELINES,Comité de la LIGUE YVELINES,78185,SAINT QUENTIN EN Y. CEDEX,2,2,8,10,1,3,Non
38780251,TRAPPES PASSING SHOT,Comité de la LIGUE YVELINES,78190,TRAPPES,3,2,127,134,10,11,Non
38780016,T.C. MAGNANVILLE,Comité de la LIGUE YVELINES,78200,MAGNANVILLE,7,0,405,393,26,27,Oui
38780147,A.S MANTAISE,Comité de la LIGUE YVELINES,78200,MANTES LA JOLIE,11,5,596,593,26,27,Oui
38780012,ST CYR TC,Comité de la LIGUE YVELINES,78210,ST CYR L ECOLE,5,2,440,450,16,16,Non
38780284,U.S.M.VIROFLAY TENNIS,Comité de la LIGUE YVELINES,78220,VIROFLAY,6,2,749,816,24,23,Oui
38780191,U.S. PECQ SECTION TENNIS,Comité de la LIGUE YVELINES,78230,LE PECQ,12,2,561,635,16,15,Oui
38780444,A.S.M. CHAMBOURCY,Comité de la LIGUE YVELINES,78240,CHAMBOURCY,4,2,346,397,12,12,Oui
38780160,T.C. MEULAN,Comité de la LIGUE YVELINES,78250,MEULAN,10,2,328,342,20,21,Oui
38780070,T.C. PARC DE MEZY,Comité de la LIGUE YVELINES,78250,MEZY SUR SEINE,2,0,91,93,2,3,Oui
