ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
,ASBR Airbus TC,LOIRE ATLANTIQUE,,,0,0,8,8,4,4,Non
02440024,NANTES PROCE OMNISPORTS,LOIRE ATLANTIQUE,44000,NANTES,3,5,375,367,19,24,Oui
02440148,ESPOIR DE CHANTENAY,LOIRE ATLANTIQUE,44000,NANTES,3,3,171,174,11,14,Oui
02440266,M.S.CHANTENAYSIEN,LOIRE ATLANTIQUE,44000,NANTES,3,3,87,77,4,6,Oui
02440776,TENNIS NANTES BEAUJOIRE,LOIRE ATLANTIQUE,44000,NANTES,0,0,113,119,7,8,Oui
02440837,AMICALE LAIQUE PORTERIE,LOIRE ATLANTIQUE,44000,NANTES,0,4,29,25,1,1,Oui
02440007,SNUC,LOIRE ATLANTIQUE,44100,NANTES,8,8,899,927,26,30,Oui
02440209,JSC DE BELLEVUE NANTES,LOIRE ATLANTIQUE,44100,NANTES,3,3,163,163,11,15,Oui
02440029,TC CASTELBRIANTAIS,LOIRE ATLANTIQUE,44110,CHATEAUBRIANT,5,3,270,378,15,30,Oui
02440211,TC DE BASSE GOULAINE,LOIRE ATLANTIQUE,44115,BASSE GOULAINE,2,2,272,270,15,21,Oui
02440448,ES HAUTE GOULAINE,LOIRE ATLANTIQUE,44115,HAUTE GOULAINE,3,2,222,228,12,13,Oui
02440314,ESPOIR DE VIEILLEVIGNE,LOIRE ATLANTIQUE,44116,VIEILLEVIGNE,1,2,53,55,6,10,Oui
02440613,TC ANDREANAIS,LOIRE ATLANTIQUE,44117,SAINT ANDRE DES EAUX,3,2,191,237,14,22,Oui
02440391,HERBADILLA TENNIS LA CHEVROLIERE,LOIRE ATLANTIQUE,44118,LA CHEVROLIERE,2,2,87,84,7,10,Oui
02440528,TC GRANDCHAMP,LOIRE ATLANTIQUE,44119,GRANDCHAMP DES FONTAINES,2,2,94,103,9,11,Oui
02440710,TC TREILLIERES,LOIRE ATLANTIQUE,44119,TREILLIERES,2,3,151,161,12,13,Oui
02440095,ENTENTE TENNIS VERTOU,LOIRE ATLANTIQUE,44120,VERTOU,4,6,520,557,26,32,Oui
02440125,AS BISCUITERIE NANTAISE,LOIRE ATLANTIQUE,44120,VERTOU,0,1,8,7,3,3,Non
02440847,TC DE LA VERTONNE,LOIRE ATLANTIQUE,44120,VERTOU,0,1,31,33,6,6,Non
02440128,TC DE BLAIN,LOIRE ATLANTIQUE,44130,BLAIN,2,3,98,103,12,15,Oui
02440838,ASSOCIATION TC BOUVRONNAIS,LOIRE ATLANTIQUE,44130,BOUVRON,2,2,34,39,3,3,Oui
02440268,TC DE MALACQUET - FAY DE BRETAGNE,LOIRE ATLANTIQUE,44130,FAY DE BRETAGNE,1,1,78,86,8,14,Oui
