ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
,TC VAUCLIN,Comité de la LIGUE MARTINIQUE,,,0,0,0,0,0,0,Non
,TENNIS CLUB DU GOLF DES TROIS ILETS,Comité de la LIGUE MARTINIQUE,,,0,0,0,0,0,0,Non
29970001,T.C. DU VIEUX MOULIN,Comité de la LIGUE MARTINIQUE,97200,FORT DE FRANCE,0,0,0,0,0,0,Non
29970006,ASPTT MARTINIQUE,Comité de la LIGUE MARTINIQUE,97200,FORT DE FRANCE,5,0,266,291,7,13,Oui
29970039,TC CMCAS EDF,Comité de la LIGUE MARTINIQUE,97200,FORT-DE-FRANCE,2,0,22,22,2,3,Non
29970043,SECTION TENNIS C.O.D.S.T.,Comité de la LIGUE MARTINIQUE,97200,FORT-DE-FRANCE,2,0,0,0,0,0,Non
29970023,SARA TENNIS CLUB,Comité de la LIGUE MARTINIQUE,97207,FORT-DE-FRANCE,2,0,0,11,0,2,Non
29970046,S.T. DU GYGNE NOIR,Comité de la LIGUE MARTINIQUE,97212,SAINT JOSEPH,1,0,10,18,0,0,Non
29970033,TENNIS CLUB DE SAINT-JOSEPH,Comité de la LIGUE MARTINIQUE,97212,SAINT-JOSEPH,3,0,90,81,6,10,Oui
29970054,TENNIS CLUB DU GROS MORNE,Comité de la LIGUE MARTINIQUE,97213,LE GROS MORNE,2,0,5,5,0,0,Oui
29970009,T.C.DU LORRAIN,Comité de la LIGUE MARTINIQUE,97214,LE LORRAIN,2,0,81,76,2,4,Oui
29970024,TENNIS CLUB DE RIVIERE SALEE,Comité de la LIGUE MARTINIQUE,97215,RIVIERE SALEE,3,0,120,134,1,6,Non
29970025,TENNIS CLUB ARLESIEN,Comité de la LIGUE MARTINIQUE,97217,ANSES D'ARLETS,0,0,0,0,0,0,Non
29970055,TENNIS CLUB DE TRINITE,Comité de la LIGUE MARTINIQUE,97220,LA TRINITE,4,0,71,71,3,8,Oui
29970004,T.C. DU NORD,Comité de la LIGUE MARTINIQUE,97221,CARBET,3,0,152,175,5,8,Oui
29970040,DIAMANT TENNIS CLUB,Comité de la LIGUE MARTINIQUE,97223,DIAMANT,2,0,177,136,6,12,Oui
29970021,DUCOS TENNIS CLUB,Comité de la LIGUE MARTINIQUE,97224,DUCOS,4,0,115,113,2,5,Oui
29970013,T.C.SAINTE ANNE,Comité de la LIGUE MARTINIQUE,97227,SAINTE-ANNE,2,0,9,13,1,1,Non
29970019,TENNIS CLUB LUCEEN,Comité de la LIGUE MARTINIQUE,97228,SAINTE-LUCE,2,0,137,148,4,3,Non
29970053,TC DES TROIS ILETS,Comité de la LIGUE MARTINIQUE,97229,LES TROIS ILETS,3,0,433,449,10,20,Non
29970041,T.C. SAINTE MARIE,Comité de la LIGUE MARTINIQUE,97230,SAINTE MARIE,3,0,40,42,0,0,Oui
29970050,TENNIS CLUB DU ROBERT,Comité de la LIGUE MARTINIQUE,97231,LE ROBERT,5,0,176,187,5,11,Oui
29970026,PETIT MANOIR TENNIS CLUB,Comité de la LIGUE MARTINIQUE,97232,LAMENTIN,5,0,50,181,1,8,Oui
29970005,ACSAC T.C.,Comité de la LIGUE MARTINIQUE,97232,LE LAMENTIN,1,0,0,0,0,0,Non
29970007,T.C. DE SCHOELCHER,Comité de la LIGUE MARTINIQUE,97233,SCHOELCHER,2,0,0,0,0,0,Non
29970012,T.C.PLM BATELIERE,Comité de la LIGUE MARTINIQUE,97233,SCHOELCHER,6,0,41,59,0,4,Oui
29970047,A.S. COUNTRY CLUB DE SCHOELCHER,Comité de la LIGUE MARTINIQUE,97233,SCHOELCHER,10,0,247,255,3,5,Non
29970059,BRASIL TEAM BEACH TENNIS MATINIK,Comité de la LIGUE MARTINIQUE,97233,SCHOELCHER,0,0,26,34,0,0,Non
29970060,MADININA BEACH TENNIS,Comité de la LIGUE MARTINIQUE,97233,SCHOELCHER,0,0,33,26,0,0,Non
29970014,FRANCOIS T.C.,Comité de la LIGUE MARTINIQUE,97240,LE FRANCOIS,3,0,282,274,5,14,Non
29970058,TENNIS CLUB DU MORNE ROUGE,Comité de la LIGUE MARTINIQUE,97260,MORNE ROUGE,1,0,0,0,0,0,Non
29970002,C.S.M. FORT DE FRANCE,Comité de la LIGUE MARTINIQUE,97261,FORT DE FRANCE,3,0,32,34,5,4,Non
29970003,TENNIS CLUB DE PLATEAU ROY,Comité de la LIGUE MARTINIQUE,97261,FORT DE FRANCE,3,0,77,123,2,5,Oui
29970031,TENNIS CLUB DE L'A.S.C.E.E.,Comité de la LIGUE MARTINIQUE,97261,FORT DE FRANCE,2,0,4,5,0,0,Oui
29970029,TIE BREAK SPIRITAIN,Comité de la LIGUE MARTINIQUE,97270,SAINT ESPRIT,4,0,173,280,4,13,Non
29970061,TC LE JARDIN DE COULEE D'OR,Comité de la LIGUE MARTINIQUE,97280,LE VAUCLIN,2,0,0,0,0,0,Non
