ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
07080002,LA MACERIENNE,ARDENNES,08000,CHARLEVILLE MEZIERES,7,6,106,143,4,4,Oui
07080068,E.S.C.A Crédit Agricole,ARDENNES,08000,CHARLEVILLE MEZIERES,2,1,21,24,5,6,Oui
07080100,AS PTT CHARLEVILLE,ARDENNES,08000,CHARLEVILLE MEZIERES,3,2,218,263,19,32,Oui
07080212,TC PIRISIEN,ARDENNES,08000,PRIX LES MEZIERES,2,1,41,50,2,7,Oui
07080188,TC VILLERS SEMEUSE,ARDENNES,08000,VILLERS SEMEUSE,1,2,128,122,17,15,Oui
07080073,TC MONTCEEN,ARDENNES,08090,MONTCY NOTRE DAME,0,1,17,13,0,0,Oui
07080045,CLUB TENNIS YVOIS CARIGNAN,ARDENNES,08110,CARIGNAN,4,1,52,75,6,13,Oui
07080341,TC BOGNY SUR MEUSE,ARDENNES,08120,BOGNY SUR MEUSE,0,2,51,46,10,9,Oui
07080094,TC ATTIGNY,ARDENNES,08130,ATTIGNY,3,1,38,29,1,0,Oui
07080119,TC DOUZY,ARDENNES,08140,DOUZY,1,1,80,99,8,10,Oui
07080093,US CHEMINOTS NOUVION,ARDENNES,08160,NOUVION SUR MEUSE,3,0,74,78,7,10,Oui
07080067,TC FUMAY,ARDENNES,08170,FUMAY,2,1,82,77,7,7,Oui
07080050,TC ST GERMAINMONT ET ENVIRONS,ARDENNES,08190,ST GERMAINMONT,2,1,60,59,4,3,Oui
07080266,TC DE GLAIRE,ARDENNES,08200,GLAIRE,1,1,20,28,2,0,Oui
07080001,TC SEDAN,ARDENNES,08200,SEDAN,4,5,284,318,23,27,Oui
07080082,TC MOUZONNAIS,ARDENNES,08210,MOUZON,2,1,64,75,7,10,Oui
07080279,ROCROI TENNIS CLUB,ARDENNES,08230,ROCROI,0,2,141,173,18,18,Oui
07080136,TC DE GRANDPRE,ARDENNES,08250,GRANDPRE,1,0,55,73,3,3,Oui
07080275,TC DE NEUFLIZE,ARDENNES,08300,NEUFLIZE,1,0,12,10,0,0,Oui
07080003,RETHEL SPORTIF TENNIS,ARDENNES,08300,RETHEL,2,3,85,86,8,8,Oui
07080109,TC DE JUNIVILLE,ARDENNES,08310,JUNIVILLE,1,1,38,46,4,5,Oui
07080344,TENNIS DU CANTON DE MACHAULT,ARDENNES,08310,MACHAULT,1,1,25,30,0,0,Oui
07080088,TC DES DEUX VIREUX,ARDENNES,08320,VIREUX WALLERAND,2,2,125,123,18,15,Oui
07080143,TC DE VRIGNE AUX BOIS,ARDENNES,08330,VRIGNE AUX BOIS,1,1,123,132,9,12,Oui
07080071,TC VOUZINOIS,ARDENNES,08400,VOUZIERS,2,1,17,31,0,0,Oui
07080110,TC DE POIX TERRON,ARDENNES,08430,POIX TERRON,1,1,88,100,7,9,Oui
07080074,AS DE CLAVY WARBY,ARDENNES,08460,CLAVY WARBY,1,1,11,11,1,0,Oui
07080250,TC SIGNY L ABBAYE,ARDENNES,08460,SIGNY L ABBAYE,1,1,42,53,0,0,Oui
07080242,TC LES MAZURES-RENWEZ,ARDENNES,08500,LES MAZURES,0,3,170,199,17,28,Oui
07080004,REVIN TENNIS CLUB,ARDENNES,08500,REVIN,1,2,88,115,5,15,Oui
07080289,ATC DE CHOOZ,ARDENNES,08600,CHOOZ,2,2,73,103,5,14,Oui
07080052,TC GIVETOIS,ARDENNES,08600,GIVET,2,2,85,56,9,7,Oui
07080945,CRAYAT TENNIS CLUB,ARDENNES,08700,NEUFMANIL,0,1,21,15,0,0,Oui
07080055,TC NOUZONVILLE,ARDENNES,08700,NOUZONVILLE,1,2,105,94,18,15,Oui
,TC DE CHAVANGES,AUBE,,,0,0,10,32,0,2,Non
07100006,A S E G A AUBE,AUBE,10000,TROYES,0,1,37,54,4,8,Oui
07100090,AS PTT TROYES,AUBE,10000,TROYES,9,4,252,293,30,25,Oui
07100012,ROMILLY SPORTS 10 TENNIS,AUBE,10100,ROMILLY SUR SEINE,4,2,204,224,27,27,Oui
07100047,FOYER BARSEQUANAIS,AUBE,10110,BAR SUR SEINE,4,3,124,130,11,19,Oui
07100272,TC DE SAINT ANDRE,AUBE,10120,SAINT ANDRE LES VERGERS,2,0,97,95,6,7,Oui
07100264,TC GERMINOIS,AUBE,10120,SAINT GERMAIN,2,0,35,28,3,4,Oui
07100201,ERVY TENNIS,AUBE,10130,ERVY LE CHATEL,2,1,33,46,2,2,Oui
07100108,TC VENDEUVRE,AUBE,10140,VENDEUVRE SUR BARSE,1,1,50,44,4,4,Oui
07100169,CT DE CHARMONT,AUBE,10150,CHARMONT SOUS BARBUISE,2,0,23,30,1,3,Oui
07100290,TC DE CRENEY,AUBE,10150,CRENEY,1,1,118,138,13,17,Oui
07100151,ES DE LUYERES,AUBE,10150,LUYERES,1,0,28,30,1,2,Oui
07100221,TC PONTOIS,AUBE,10150,PONT SAINTE MARIE,2,2,186,207,27,26,Oui
07100005,TC TROYES,AUBE,10150,TROYES,4,5,248,253,26,25,Oui
07100339,TENNIS CLUB DE VOUE,AUBE,10150,VOUE,1,0,26,29,0,0,Oui
07100262,CMT SAINT MESMIN,AUBE,10170,SAINT MESMIN,1,0,6,16,0,0,Oui
07100187,US DE SAINT LYE,AUBE,10180,SAINT LYE,2,0,28,34,1,3,Non
07100334,TENNIS CLUB D'ESTISSAC,AUBE,10190,ESTISSAC,2,0,16,16,1,4,Oui
07100008,TCM DE BAR SUR AUBE,AUBE,10200,BAR SUR AUBE,3,2,119,132,20,26,Oui
07100269,TC CHAOURCOIS,AUBE,10210,CHAOURCE,2,0,8,11,1,1,Non
07100081,TC BREVONNAIS,AUBE,10220,BREVONNES,1,1,43,50,3,8,Oui
07100217,ESC Tennis Pays d'Orient,AUBE,10220,PINEY,1,0,28,18,0,0,Oui
07100215,TC CHAMPENOIS,AUBE,10230,MAILLY LE CAMP,3,1,49,42,7,8,Oui
07100332,TC VAUDOIS,AUBE,10260,SAINT PARRES LES VAUDES,2,0,47,59,5,6,Oui
07100043,FOYER SPORTIF DES GRES,AUBE,10280,FONTAINE LES GRES,1,1,41,42,5,6,Oui
07100182,ASO MARCILLY LE HAYER,AUBE,10290,MARCILLY LE HAYER,2,0,18,29,0,0,Oui
07100168,CLUB TENNIS SAVINIEN,AUBE,10300,STE SAVINE,6,1,128,155,8,15,Oui
07100174,TC BOUILLY,AUBE,10320,BOUILLY,2,0,97,121,16,16,Oui
07100222,TC MARIGNY LE CHATEL,AUBE,10350,MARIGNY LE CHATEL,2,0,56,58,2,3,Oui
07100114,TC ESSOYES,AUBE,10360,ESSOYES,2,0,43,38,1,3,Oui
07100148,TC VILLENAUXE,AUBE,10370,VILLENAUXE,4,1,67,79,5,11,Oui
07100254,TC PLANCEEN,AUBE,10380,PLANCY L'ABBAYE,2,0,28,33,4,4,Oui
07100009,ESPERANCE NOGENT SUR SEINE,AUBE,10400,NOGENT SUR SEINE,4,2,140,116,11,8,Oui
07100211,AS DU TERTRE,AUBE,10410,SAINT PARRES AUX TERTRES,0,2,101,154,1,4,Oui
07100128,TC LES NOES,AUBE,10420,LES NOES PRES TROYES,2,0,30,31,1,1,Non
07100162,ROSIERES OMNI SPORTS,AUBE,10430,ROSIERES PRES TROYES,2,2,168,182,29,28,Oui
07100085,TC RIVIERE DE CORPS,AUBE,10440,LA RIVIERE DE CORPS,5,2,176,179,17,18,Oui
07100123,TC TORVILLIERS,AUBE,10440,TORVILLIERS,2,0,27,41,5,8,Oui
07100062,ASS BRIENNE LE CHATEAU,AUBE,10500,BRIENNE LE CHATEAU,3,1,39,48,2,6,Oui
07100243,TC DIENVILLE,AUBE,10500,DIENVILLE,2,1,38,53,4,3,Oui
07100103,L'ETOILE DE MAIZIERES,AUBE,10510,MAIZIERES LA GRANDE PAROIS,2,0,13,14,1,2,Non
07100350,Tennis Club Barberey Saint Sulpice,AUBE,10600,BARBEREY ST SULPICE,1,0,18,15,1,0,Non
07100247,TC DE VILLACERF,AUBE,10600,VILLACERF,3,1,79,86,9,11,Oui
07100054,AS ARCISIENNE TENNIS,AUBE,10700,ARCIS SUR AUBE,1,1,45,52,0,2,Oui
07100236,TCM VILLETTE SUR AUBE,AUBE,10700,VILLETTE SUR AUBE,1,1,31,32,5,10,Non
07100348,TC DES DEUX VALLEES,AUBE,10800,BUCHERES,4,2,159,206,20,22,Oui
07100072,TC SANCEEN,AUBE,10800,SAINT JULIEN LES VILLAS,2,2,108,151,16,20,Oui
07510024,AS PTT CHALONS EN CHAMPAGNE,MARNE,51000,CHALONS EN CHAMPAGNE,4,3,170,230,21,24,Oui
07510056,ASCA CHALONS EN CHAMPAGNE,MARNE,51000,CHALONS EN CHAMPAGNE,3,2,58,96,5,5,Non
07510186,AS CHEMINOTS CHALONS CHAMPAGNE,MARNE,51000,CHALONS EN CHAMPAGNE,2,0,8,8,2,2,Non
07510358,ATSCAF MARNE,MARNE,51000,CHALONS EN CHAMPAGNE,0,0,4,4,1,2,Non
07510333,GENDARMERIE DE CHAMPAGNE,MARNE,51022,CHALONS EN CHAMPAGNE,1,0,0,4,0,0,Oui
07510015,TENNIS CLUB DE REIMS,MARNE,51100,REIMS,4,6,443,484,22,24,Oui
07510019,U. R. T.,MARNE,51100,REIMS,3,4,387,420,25,21,Oui
07510064,US CHEMINOTS REIMS,MARNE,51100,REIMS,2,2,162,164,10,6,Oui
07510069,REIMS EUROPE CLUB,MARNE,51100,REIMS,4,3,431,453,26,26,Oui
07510078,TC GEO ANDRE,MARNE,51100,REIMS,4,2,181,191,21,27,Oui
07510095,TC SACRE COEUR,MARNE,51100,REIMS,2,1,48,24,2,1,Oui
07510260,REIMS UNIVERSITE CLUB,MARNE,51100,REIMS,2,0,12,19,2,2,Non
07510285,AS PTT DE REIMS,MARNE,51100,REIMS,2,0,11,32,3,4,Non
07510305,TC A.C.R.A.P,MARNE,51100,REIMS,1,0,9,14,0,0,Non
07510326,TENNIS CLUB GAZELEC REIMS,MARNE,51100,REIMS,1,1,31,31,5,6,Oui
07510194,FJEP BAZANCOURT,MARNE,51110,BAZANCOURT,2,1,44,50,1,1,Oui
07510337,L'ETOILE DES JEUNES BOURGOGNE,MARNE,51110,BOURGOGNE,1,1,36,36,3,3,Non
07510202,TC DE WARMERIVILLE,MARNE,51110,WARMERIVILLE,1,1,79,80,11,12,Oui
07510107,TC SEZANNE,MARNE,51120,SEZANNE,4,1,114,108,11,11,Oui
07510263,ES BERGERES TENNIS,MARNE,51130,BERGERES LES VERTUS,2,2,104,107,10,12,Oui
07510091,TC DE VERTUS,MARNE,51130,VERTUS,3,2,86,140,12,14,Oui
07510034,TENNIS ET BADMINTON DE JONCHERY SUR VESLE,MARNE,51140,JONCHERY SUR VESLE,2,1,8,27,0,0,Oui
07510113,TC MUIZON,MARNE,51140,MUIZON,3,1,225,251,12,10,Oui
07510126,TC BOUZY,MARNE,51150,BOUZY,2,2,77,64,4,1,Oui
07510193,AS LAIQUE D' AY,MARNE,51160,AY CHAMPAGNE,2,0,88,88,14,9,Oui
07510157,TC DE MAREUIL,MARNE,51160,MAREUIL SUR AY,2,0,26,48,3,3,Oui
07510129,TC SAINT IMOGES,MARNE,51160,SAINT IMOGES,1,0,0,0,0,0,Non
07510060,US FISMOISE,MARNE,51170,FISMES,2,0,0,57,0,3,Oui
07510360,TENNIS CLUB DE FISMES,MARNE,51170,FISMES,2,1,139,201,14,4,Oui
07510027,TC COTE DES BLANCS,MARNE,51190,AVIZE,4,2,185,209,19,16,Oui
07510022,STE NAUTIQUE D' EPERNAY,MARNE,51200,EPERNAY,3,2,231,258,25,26,Oui
07510153,AS PTT EPERNAY,MARNE,51200,EPERNAY,0,2,77,79,8,10,Oui
07510214,TC DE PIERRY,MARNE,51200,PIERRY,2,0,25,39,3,3,Oui
07510030,TC DE MONTMIRAIL,MARNE,51210,MONTMIRAIL,1,3,157,224,23,22,Oui
07510127,TCCA CAUROY HERMONVILLE,MARNE,51220,CAUROY LES HERMONVILLE,3,0,85,111,6,6,Oui
07510077,TC DE LA VAURE,MARNE,51230,CONNANTRE,5,2,87,90,16,17,Oui
07510048,USS SERMAIZIENNE,MARNE,51250,SERMAIZE LES BAINS,1,1,16,20,0,0,Oui
07510238,TC DE LA BRIE DES ETANGS,MARNE,51270,MONTMORT LUCY,1,0,56,55,3,3,Non
07510349,TENNIS CLUB DE BRUSSON,MARNE,51300,BRUSSON,1,0,0,0,0,0,Non
07510356,TC DE FRIGNICOURT,MARNE,51300,FRIGNICOURT,2,1,6,13,2,2,Non
07510026,TC VITRYAT,MARNE,51300,VITRY LE FRANCOIS,5,3,199,237,14,21,Oui
07510265,FREP ESTERNAY,MARNE,51310,ESTERNAY,2,0,25,23,0,0,Oui
07510359,AMICALE TENNIS ET PING PONG DE GIVRY EN ARGONNE,MARNE,51330,GIVRY EN ARGONNE,0,1,0,0,0,0,Non
07510154,TC PARGNYSIEN,MARNE,51340,PARGNY SUR SAULX,1,0,18,38,3,3,Oui
07510084,CORMONTREUIL TC,MARNE,51350,CORMONTREUIL,4,5,451,472,31,35,Oui
07510340,A.S. DE VERZENAY,MARNE,51360,VERZENAY,1,1,25,47,2,4,Oui
07510138,TC DE CHAMPIGNY,MARNE,51370,CHAMPIGNY SUR VESLE,2,1,18,26,0,0,Oui
07510196,AS DE VILLERS MARMERY,MARNE,51380,VILLERS MARMERY,1,1,21,28,3,3,Oui
07510075,TC GUEUX,MARNE,51390,GUEUX,3,1,121,131,7,7,Oui
07510066,C.A.D.M. MOURMELON,MARNE,51400,MOURMELON-LE-GRAND,3,3,96,111,7,12,Oui
07510197,TC DE WITRY LES REIMS,MARNE,51420,WITRY LES REIMS,1,2,180,195,15,15,Oui
07510258,TC BEZANNES,MARNE,51430,BEZANNES,3,2,198,208,23,20,Oui
07510017,T.R.C DE LA MUIRE,MARNE,51430,TINQUEUX,2,3,167,224,9,11,Oui
07510173,TC DE BETHENY,MARNE,51450,BETHENY,3,3,253,226,18,16,Oui
07510133,TC COURTISOLS,MARNE,51460,COURTISOLS,2,1,113,133,12,12,Oui
07510204,TC DE SAINT MEMMIE,MARNE,51470,SAINT MEMMIE,2,2,197,200,20,25,Oui
07510252,TC DE CUMIERES,MARNE,51480,CUMIERES,1,0,0,10,0,2,Oui
07510228,US DE DAMERY,MARNE,51480,DAMERY,2,0,67,56,1,1,Non
07510145,TC DE BETHENIVILLE,MARNE,51490,BETHENIVILLE,2,0,0,0,0,0,Oui
07510231,Sports et Loisirs de PONTFAVERGER-Rives de Suippes,MARNE,51490,PONTFAVERGER,2,0,53,132,6,6,Oui
07510219,TC DE CHIGNY LES ROSES,MARNE,51500,CHIGNY LES ROSES,1,0,0,0,0,0,Non
07510224,TC DE RILLY,MARNE,51500,RILLY LA MONTAGNE,1,1,18,14,1,1,Non
07510137,TC DE SILLERY,MARNE,51500,SILLERY,3,1,156,145,10,9,Oui
07510144,TC TAISSY,MARNE,51500,TAISSY,2,1,116,132,12,10,Oui
07510155,TC DE ST MARTIN SUR LE PRE,MARNE,51520,SAINT MARTIN SUR LE PRE,2,2,179,180,16,10,Oui
07510183,CO DE SARRY,MARNE,51520,SARRY,3,1,67,98,9,7,Oui
07510125,TC DE CHOUILLY,MARNE,51530,CHOUILLY,2,1,89,82,6,5,Oui
07510355,TENNIS CLUB DE CUIS,MARNE,51530,CUIS,2,0,21,32,2,2,Oui
07510278,US DE DIZY,MARNE,51530,DIZY,1,0,0,12,1,1,Non
07510178,TC DE MARDEUIL,MARNE,51530,MARDEUIL,1,1,114,103,6,6,Oui
07510274,TC DE OIRY,MARNE,51530,OIRY,2,0,34,33,6,4,Oui
07510130,TC ABLUTIEN,MARNE,51530,SAINT MARTIN D ABLOIS,2,0,41,45,2,2,Oui
07510051,TC DE SUIPPES,MARNE,51600,SUIPPES,2,1,73,64,2,3,Oui
07510049,TC CHATILLON SUR MARNE,MARNE,51700,CHATILLON SUR MARNE,2,0,1,6,0,0,Oui
07510033,TC DE DORMANS,MARNE,51700,DORMANS,4,2,110,134,8,11,Oui
07510161,CLUB TENNIS PHILIPPE,MARNE,51700,DORMANS,1,1,64,74,5,5,Oui
07510029,TC MENEHILDIEN,MARNE,51800,SAINTE MENEHOULD,2,0,131,126,11,11,Oui
,TC DE LA RESAIGNE LE PAILLY,HAUTE MARNE,,,0,0,4,14,0,1,Non
07520038,ECAC TENNIS,HAUTE MARNE,52000,CHAUMONT,6,4,155,154,33,54,Oui
07520142,AS PTT CHAUMONT,HAUTE MARNE,52000,CHAUMONT,3,3,196,222,33,68,Oui
07520261,US DE CONDES TENNIS,HAUTE MARNE,52000,CONDES,2,0,19,11,0,2,Oui
07520277,TC SEMOUTIERS MONTSAON,HAUTE MARNE,52000,SEMOUTIERS,1,1,3,3,0,0,Oui
07520189,SL DE L'ORNEL,HAUTE MARNE,52100,BETTANCOURT LA FERREE,2,0,93,99,7,15,Oui
07520287,TC MOESLAINS,HAUTE MARNE,52100,MOESLAINS,1,0,14,15,0,0,Oui
07520036,COSD-TCB,HAUTE MARNE,52100,SAINT DIZIER,6,4,182,367,51,82,Oui
07520058,SPORTING MARNAVAL CLUB,HAUTE MARNE,52100,SAINT DIZIER,1,2,67,69,6,10,Oui
07520165,TC DE VILLIERS EN LIEU,HAUTE MARNE,52100,VILLIERS EN LIEU,2,1,57,71,8,11,Oui
07520190,CLUB DE TENNIS DE CHATEAUVILLAIN,HAUTE MARNE,52120,CHATEAUVILLAIN,1,1,62,67,18,18,Oui
07520331,TC DE VOILLECOMTE,HAUTE MARNE,52130,VOILLECOMTE,1,0,18,23,0,12,Oui
07520061,TC WASSEYEN,HAUTE MARNE,52130,WASSY,2,0,43,73,10,15,Oui
07520147,TC DE MONTIGNY LE ROI,HAUTE MARNE,52140,MONTIGNY LE ROI,2,1,17,14,0,0,Non
07520135,AV CANTON BOURMONT,HAUTE MARNE,52150,BOURMONT,2,2,28,27,3,3,Oui
07520139,TC CANTON DE PRAUTHOY,HAUTE MARNE,52190,PRAUTHOY,4,0,12,15,5,7,Non
07520039,TC LANGRES,HAUTE MARNE,52200,LANGRES,2,3,279,330,19,57,Oui
07520063,TC DERVOIS,HAUTE MARNE,52220,MONTIER EN DER,2,1,88,104,18,38,Oui
07520223,CA ROLAMPONTAIS,HAUTE MARNE,52260,ROLAMPONT,2,1,64,79,11,22,Oui
07520111,TC B. E. L.,HAUTE MARNE,52290,ECLARON,2,1,19,21,0,0,Non
07520283,TC D HUMBECOURT,HAUTE MARNE,52290,HUMBECOURT,1,0,0,3,0,0,Non
07520041,TC DE JOINVILLE,HAUTE MARNE,52300,JOINVILLE,3,0,130,138,17,40,Oui
