ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
,ITB 16,CHARENTE,,,0,0,2,1,0,0,Non
21160001,ANGOULEME TCM ,CHARENTE,16000,ANGOULEME,17,3,275,294,30,38,Oui
21160075,ANGOULEME LEROY SOMER TC ,CHARENTE,16000,ANGOULEME,2,1,5,10,4,9,Oui
21160106,ANGOULEME GAZELEC AS,CHARENTE,16000,ANGOULEME,1,0,1,2,2,4,Non
21160121,ANGOULEME SECURITE SOCIALE,CHARENTE,16000,ANGOULEME,0,0,0,2,1,1,Non
21160154,ANGOULEME JS ,CHARENTE,16000,ANGOULEME,2,1,92,92,10,11,Oui
21160268,ANGOULEME PETIT FRESQUET ATC ,CHARENTE,16000,ANGOULEME,7,3,272,310,33,30,Oui
21160230,ANGOULEME ASPO,CHARENTE,16000,ANGOULEME GARE,1,0,1,3,1,3,Non
21160190,CHATEAUBERNARD TC ,CHARENTE,16100,CHATEAUBERNARD,5,0,161,180,23,31,Oui
21160331,COGNAC REMY MARTIN ASL,CHARENTE,16100,COGNAC,2,0,6,6,0,2,Non
21160362,COGNAC MARTELL CLUB LOISIRS,CHARENTE,16100,COGNAC,2,0,12,3,0,0,Non
21160194,BORDERIES TC,CHARENTE,16100,JAVREZAC,3,0,49,64,9,12,Oui
21160005,COGNAC TC ,CHARENTE,16100,SAINT BRICE,10,4,277,320,28,32,Oui
21160333,SAINT BRICE TC,CHARENTE,16100,SAINT BRICE,1,0,15,19,3,3,Non
21160062,ROCHEFOUCAULD TC (LA) ,CHARENTE,16110,LA ROCHEFOUCAULD,4,1,143,139,13,13,Oui
21160463,MARILLAC TC,CHARENTE,16110,MARILLAC LE FRANC,1,0,18,16,0,0,Oui
21160391,TAPONNAT FLEURIGNAC TC,CHARENTE,16110,TAPONNAT FLEURIGNAC,2,0,42,44,6,6,Oui
21160558,BASSAC TC,CHARENTE,16120,BASSAC,1,0,10,10,0,0,Non
21160008,CHATEAUNEUF TC ,CHARENTE,16120,CHATEAUNEUF,3,1,60,69,9,8,Oui
21160557,GENSAC LA PALLUE TC,CHARENTE,16130,GENSAC LA PALLUE,2,1,2,16,1,1,Oui
21160265,GRANDE CHAMPAGNE ES,CHARENTE,16130,LIGNIERES SONNEVILLE,3,0,23,24,1,2,Oui
21160096,SEGONZAC TC ,CHARENTE,16130,SEGONZAC,3,0,49,68,3,5,Oui
21160013,AIGRE TC,CHARENTE,16140,AIGRE,2,1,10,24,3,6,Oui
21160053,CHARENTE LIMOUSINE  ,CHARENTE,16150,CHABANAIS,7,3,74,71,6,6,Oui
21160365,GOND PONTOUVRE AL ,CHARENTE,16160,GOND PONTOUVRE,4,3,70,66,13,20,Oui
21160103,ROUILLAC TENNIS CLUB  ,CHARENTE,16170,ROUILLAC,2,2,121,125,16,17,Oui
21160216,MONTMOREAU AJ ,CHARENTE,16190,MONTMOREAU,1,2,48,53,5,6,Oui
21160238,GONDEVILLE TC,CHARENTE,16200,GONDEVILLE,1,0,0,0,3,3,Oui
21160007,JARNAC SPORTS ,CHARENTE,16200,JARNAC,4,4,112,175,18,18,Oui
21160141,CHALAIS TC ,CHARENTE,16210,CHALAIS,3,1,99,128,15,16,Oui
21160084,MONTBRON TC ,CHARENTE,16220,MONTBRON,3,1,37,54,7,8,Oui
21160373,MANSLE TC,CHARENTE,16230,MANSLE,2,1,68,83,10,10,Oui
21160131,BLANZAC ES ,CHARENTE,16250,BLANZAC,3,1,50,47,4,5,Oui
21160128,CHASSENEUIL CT  ,CHARENTE,16260,CHASSENEUIL SUR BONNIEURE,3,2,62,72,10,10,Oui
21160562,ASNIERES SUR NOUERE TC,CHARENTE,16290,ASNIERES,2,0,35,39,3,3,Oui
21160571,SAINT SATURNIN TC ,CHARENTE,16290,SAINT SATURNIN,2,1,63,79,4,5,Oui
21160003,BARBEZIEUX TC ,CHARENTE,16300,BARBEZIEUX,6,0,144,170,23,22,Oui
21160012,SAINT AMANT DE BOIXE T.C. ,CHARENTE,16330,SAINT AMANT DE BOIXE,2,0,9,9,0,0,Oui
21160089,VARS TC ,CHARENTE,16330,VARS,2,0,80,94,7,8,Oui
21160057,ISLE D ESPAGNAC T C,CHARENTE,16340,ISLE D ESPAGNAC,4,1,168,207,19,24,Oui
21160415,ISLE D ESPAGNAC ECUREUILS TC,CHARENTE,16340,ISLE D ESPAGNAC,2,0,4,4,1,3,Oui
21160473,CHAMPAGNE MOUTON ABC TENNIS,CHARENTE,16350,CHAMPAGNE MOUTON,1,1,0,0,0,0,Non
21160327,BAIGNES TC ,CHARENTE,16360,BAIGNES STE RADEGONDE,2,1,61,68,3,6,Oui
21160347,CHERVES RICHEMONT TC,CHARENTE,16370,CHERVES RICHEMONT,2,0,1,6,0,0,Oui
21160424,CHAZELLES T.C. ,CHARENTE,16380,CHAZELLES,3,0,10,8,1,1,Oui
21160554,MARTHON - FEUILLADE,CHARENTE,16380,MARTHON,2,0,0,10,0,2,Oui
21160100,AUBETERRE SUR DRONNE TC,CHARENTE,16390,AUBETERRE SUR DRONNE,3,0,52,81,8,12,Oui
21160207,SAINT SEVERIN TC,CHARENTE,16390,SAINT SEVERIN,2,0,0,11,1,1,Oui
21160011,COURONNE COC TENNIS ,CHARENTE,16400,LA COURONNE,3,2,83,86,6,10,Oui
21160240,PUYMOYEN TC  ,CHARENTE,16400,PUYMOYEN,4,1,53,70,7,9,Oui
21160314,VOEUIL ET GIGET TC ,CHARENTE,16400,VOEUIL ET GIGET,2,1,70,76,3,7,Oui
21160342,VALECHEL TC,CHARENTE,16410,DIRAC,4,1,45,52,7,10,Oui
21160354,BALZAC TC,CHARENTE,16430,BALZAC,2,0,86,81,9,11,Oui
21160273,CHAMPNIERS TC ,CHARENTE,16430,CHAMPNIERS,3,0,81,94,10,9,Oui
21160307,CLAIX TC ,CHARENTE,16440,CLAIX,2,0,31,25,8,7,Oui
21160394,MOUTHIERS TC ,CHARENTE,16440,MOUTHIERS,2,1,99,107,8,13,Oui
21160298,NERSAC TCM,CHARENTE,16440,NERSAC,4,1,89,93,12,15,Oui
21160339,SAINT MICHEL TC ,CHARENTE,16440,NERSAC,3,1,120,151,19,24,Oui
21160390,ROULLET SAINT ESTEPHE TC ,CHARENTE,16440,ROULLET SAINT ESTEPHE,4,1,119,145,26,29,Oui
21160495,SIREUIL TC ,CHARENTE,16440,SIREUIL,2,2,87,66,12,12,Oui
21160258,BROSSAC US,CHARENTE,16480,BROSSAC,2,0,33,28,1,0,Oui
21160280,CONFOLENS TC  ,CHARENTE,16500,CONFOLENS,2,2,92,78,5,4,Oui
21160535,ANAIS TC,CHARENTE,16560,ANAIS,2,0,0,1,0,0,Oui
21160304,BRIE TC ,CHARENTE,16590,BRIE,2,2,73,82,10,13,Oui
21160137,MAGNAC TC ,CHARENTE,16600,MAGNAC SUR TOUVRE,3,1,115,128,15,15,Oui
21160458,MORNAC TC ,CHARENTE,16600,MORNAC,2,0,1,1,0,0,Oui
21160010,RUELLE TC ,CHARENTE,16600,RUELLE,5,0,96,106,12,16,Oui
21160605,TOUVRE TC ,CHARENTE,16600,TOUVRE,2,1,16,34,3,5,Oui
