ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
,A.S HSBC FRANCE,Comité de la LIGUE PARIS,,,0,0,11,17,4,12,Non
,ASSOCIATION SPORTIVE DE PARIS 6,Comité de la LIGUE PARIS,,,0,0,5,6,0,0,Non
,ASSOCIATION DE LOISIRS DU PARC DES VIGNOLLES,Comité de la LIGUE PARIS,,,0,0,9,11,0,0,Non
,ASSOCIATION SPORTIVE MINISTERES SOCIAUX,Comité de la LIGUE PARIS,,,0,0,0,5,26,44,Non
,ENSEIGNANTES DE PARIS,Comité de la LIGUE PARIS,,,0,0,1,1,3,5,Non
,PRESSTALIS,Comité de la LIGUE PARIS,,,0,0,6,6,1,2,Non
,CAES INSERM,Comité de la LIGUE PARIS,,,0,0,16,12,2,4,Non
,ASSO. TOURISTIQUE SPORTIVE ET CULTURELLE DES ADMIN,Comité de la LIGUE PARIS,,,0,0,0,0,2,4,Non
,INFOGEST-ESC XV,Comité de la LIGUE PARIS,,,0,0,24,26,0,4,Non
19750071,COMITE ACTION SOCIALE CULTURELLE ET SPORTIVE,Comité de la LIGUE PARIS,75003,PARIS,1,2,0,0,0,0,Oui
19750526,MATCH POINT,Comité de la LIGUE PARIS,75003,paris,1,0,104,97,4,2,Non
19750203,SET EN COURT,Comité de la LIGUE PARIS,75005,Paris,1,3,185,193,0,0,Oui
19750217,TENNIS CLUB DU VE,Comité de la LIGUE PARIS,75005,PARIS,2,3,8,13,2,2,Oui
19750214,ASSOCIATION PARIS SPORT,Comité de la LIGUE PARIS,75005,PARIS 05,2,3,190,199,0,0,Oui
19750492,ASSOCIATION SPORTIVE DES ARENES,Comité de la LIGUE PARIS,75005,PARIS 05,3,0,32,35,0,0,Non
19750165,PITRAY OLIER T.C.,Comité de la LIGUE PARIS,75006,PARIS,6,0,0,0,0,0,Oui
19750517,ASS. SPORTIVE ET CULTURELLE DU PERSONNEL DU SENAT,Comité de la LIGUE PARIS,75006,PARIS,2,0,11,13,2,4,Non
19750136,TC BANQUE DE NEUFLIZE,Comité de la LIGUE PARIS,75008,PARIS,0,2,11,8,3,8,Non
19750146,ARTISTES (TENNIS CLUB),Comité de la LIGUE PARIS,75009,PARIS,0,2,0,8,0,0,Non
19750385,SPORTING CLUB DU 9 EME,Comité de la LIGUE PARIS,75009,PARIS,8,0,179,175,5,7,Oui
19750026,TENNIS CLUB DU 10 EME,Comité de la LIGUE PARIS,75010,PARIS,9,5,133,124,5,5,Oui
19750074,PARIS D'HIER A.S.,Comité de la LIGUE PARIS,75010,PARIS,2,0,67,57,0,0,Non
19750177,CLUB RECHERCHE ET LOISIRS 10EME,Comité de la LIGUE PARIS,75010,PARIS,1,1,75,74,0,0,Oui
19750108,ENTENTE SPORTIVE CULTURELLE XI,Comité de la LIGUE PARIS,75011,PARIS,0,1,116,99,0,2,Oui
19750181,TENNIS CLUB XIème - ASSOCIATION SPORTIVE ST BERNAR,Comité de la LIGUE PARIS,75011,PARIS,7,4,544,537,12,12,Oui
19750006,DUMAS VOLTAIRE (A.S.),Comité de la LIGUE PARIS,75011,PARIS 11,8,2,94,96,9,8,Oui
19750027,PARIS CENTRE (T.C.),Comité de la LIGUE PARIS,75012,PARIS,3,0,223,223,7,8,Oui
19750068,LA CAMILLIENNE SPORTS 12EME,Comité de la LIGUE PARIS,75012,PARIS,7,0,275,291,2,4,Oui
19750086,T.C. XII BERCY,Comité de la LIGUE PARIS,75012,PARIS,4,1,788,802,12,23,Oui
19750125,JOINVILLE (T.C.P.),Comité de la LIGUE PARIS,75012,PARIS,0,4,357,363,7,10,Oui
19750160,I.N.S.E.P.-A.C.S.E.S.,Comité de la LIGUE PARIS,75012,PARIS,0,4,12,14,3,6,Non
19750166,CHANTIER/UNION ATHLETIQUE DU/,Comité de la LIGUE PARIS,75012,PARIS,2,0,33,50,6,6,Non
19750179,ECOLE DE TENNIS DU 12EME,Comité de la LIGUE PARIS,75012,PARIS,6,3,22,22,0,0,Oui
19750193,REUILLY-NATION SPORTS,Comité de la LIGUE PARIS,75012,PARIS,7,7,621,636,5,8,Oui
19750215,RACING TENNIS CLUB DE JOINVILLE,Comité de la LIGUE PARIS,75012,PARIS,3,2,280,297,12,16,Oui
19750283,VINCENNES C.A.,Comité de la LIGUE PARIS,75012,PARIS,6,7,781,819,18,24,Oui
19750500,RAQUETTE CLUB,Comité de la LIGUE PARIS,75012,PARIS,1,0,0,0,0,0,Non
19750494,CLUB MESSIDOR,Comité de la LIGUE PARIS,75012,PARIS 12,1,0,73,72,0,0,Non
19750062,ACTISCE POTERNE DES PEUPLIERS C.C.,Comité de la LIGUE PARIS,75013,PARIS,1,0,0,0,0,0,Oui
19750148,TENNIS CLUB DU XIIIème,Comité de la LIGUE PARIS,75013,PARIS,2,5,538,555,9,14,Oui
19750153,ILOT IV/CERCLE CULTUREL,Comité de la LIGUE PARIS,75013,PARIS,0,2,0,10,0,0,Non
