ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
04210005,DIJON A.D.A.S. I.N.R.A.,COTE D'OR,21000,DIJON,4,0,14,26,2,3,Oui
04210009,DIJON T.C.,COTE D'OR,21000,DIJON,7,5,684,745,32,33,Oui
04210011,DIJON U.S. CHEMINOTS,COTE D'OR,21000,DIJON,4,0,103,102,24,25,Oui
04210072,DIJON SPORTS LOISIRS S.SOCIALE,COTE D'OR,21000,DIJON,1,0,3,11,2,3,Non
04210055,DIJON UNIVERSITE CLUB,COTE D'OR,21078,DIJON,7,4,270,240,27,27,Oui
04210301,AISEREY T.C.,COTE D'OR,21110,AISEREY,2,0,0,12,1,1,Oui
04210243,BRETENIERES C.O.,COTE D'OR,21110,BRETENIERES,2,0,14,12,3,3,Non
04210012,GENLIS T.C.,COTE D'OR,21110,GENLIS,3,1,105,117,14,14,Oui
04210220,LONGCHAMP T.C.,COTE D'OR,21110,LONGCHAMP,2,0,0,9,1,1,Oui
04210308,ROUVRES EN PLAINE A.O.R.,COTE D'OR,21110,ROUVRES EN PLAINE,3,0,66,62,7,6,Oui
04210013,IS SUR TILLE T.C.,COTE D'OR,21120,IS SUR TILLE,4,0,146,164,15,18,Oui
04210260,AHUY T.C.,COTE D'OR,21121,AHUY,2,0,11,14,2,3,Oui
04210288,DAIX LOISIRS ASSOCIATION,COTE D'OR,21121,DAIX,2,0,0,0,0,0,Oui
04210130,FONTAINE LES DIJON C.S.F.D.,COTE D'OR,21121,FONTAINE LES DIJON,3,4,442,490,31,31,Oui
04210120,HAUTEVILLE LES BOIS T.C.,COTE D'OR,21121,HAUTEVILLE LES DIJON,2,0,33,28,7,5,Oui
04210060,AUXONNE ETOILE,COTE D'OR,21130,AUXONNE,4,1,79,81,8,5,Oui
04210016,SEMUR T.C.,COTE D'OR,21140,SEMUR EN AUXOIS,3,2,145,149,23,20,Oui
04210098,VENAREY LES LAUMES U.S.C.,COTE D'OR,21150,VENAREY LES LAUMES,6,1,51,73,23,20,Oui
04210082,MARSANNAY LA COTE T.C.,COTE D'OR,21160,MARSANNAY LA COTE,3,0,85,73,8,9,Oui
04210259,SAINT JEAN DE LOSNE T.C.,COTE D'OR,21170,SAINT JEAN DE LOSNE,3,0,12,20,2,2,Oui
04210215,CHASSAGNE MONTRACHET T.C.,COTE D'OR,21190,CHASSAGNE MONTRACHET,2,0,40,57,5,5,Oui
04210113,MEURSAULT T.C.,COTE D'OR,21190,MEURSAULT,3,1,80,73,7,7,Oui
04210292,BLIGNY LES BEAUNE F.R.,COTE D'OR,21200,BLIGNY LES BEAUNE,1,1,51,82,7,6,Oui
04210002,BEAUNE T.C.,COTE D'OR,21200,VIGNOLES,4,4,391,391,42,44,Oui
04210015,SAULIEU T.C.,COTE D'OR,21210,SAULIEU,3,0,13,42,4,5,Oui
04210094,GEVREY CHAMBERTIN T.C.,COTE D'OR,21220,GEVREY CHAMBERTIN,2,1,33,38,7,7,Non
04210380,GEVREY SPORTING CLUB,COTE D'OR,21220,GEVREY CHAMBERTIN,2,2,21,56,1,0,Oui
04210001,ARNAY LE DUC T.C.,COTE D'OR,21230,ARNAY LE DUC,3,0,72,69,8,9,Oui
04210099,TALANT A.T.,COTE D'OR,21240,TALANT,4,3,348,362,18,22,Oui
04210109,SEURRE T.C.,COTE D'OR,21250,SEURRE,2,0,31,18,1,2,Oui
04210122,SELONGEY S.C.,COTE D'OR,21260,SELONGEY,3,0,45,60,9,12,Oui
04210202,PONTAILLER T.C.,COTE D'OR,21270,PONTAILLER SUR SAONE,2,1,57,54,7,6,Oui
04210312,RECEY SUR OURCE T.C.,COTE D'OR,21290,RECEY SUR OURCE,2,0,15,18,5,5,Oui
04210142,CHENOVE T.C.,COTE D'OR,21300,CHENOVE,4,2,137,151,17,15,Oui
04210134,BELLENEUVE T.C.,COTE D'OR,21310,BELLENEUVE,2,1,36,41,5,5,Oui
04210193,MIREBEAU T.C.,COTE D'OR,21310,MIREBEAU SUR BEZE,2,0,78,97,7,7,Oui
04210171,POUILLY EN AUXOIS T.C.,COTE D'OR,21320,POUILLY EN AUXOIS,2,0,44,60,8,6,Oui
04210248,LAIGNES T.C.,COTE D'OR,21330,LAIGNES,1,1,27,30,5,4,Oui
04210093,NOLAY T.C.,COTE D'OR,21340,NOLAY,3,0,44,60,2,2,Oui
04210375,VITTEAUX T.C.,COTE D'OR,21350,VITTEAUX,2,1,93,87,17,16,Oui
04210321,CANTON D'OUCHE T.C.,COTE D'OR,21360,BLIGNY SUR OUCHE,2,1,51,62,6,8,Non
04210133,PLOMBIERES T.C.,COTE D'OR,21370,PLOMBIERES LES DIJON,2,0,112,122,16,18,Oui
04210104,MESSIGNY ET VANTOUX A.S.C.,COTE D'OR,21380,MESSIGNY ET VANTOUX,3,0,81,99,9,10,Oui
04210182,PRECY SOUS THIL F.R.C.,COTE D'OR,21390,PRECY SOUS THIL,3,1,48,55,9,5,Oui
04210003,CHATILLON T.C.,COTE D'OR,21400,CHATILLON SUR SEINE,4,2,151,169,21,18,Oui
04210268,SAVIGNY LES BEAUNE T.C.,COTE D'OR,21420,SAVIGNY LES BEAUNE,2,0,47,29,6,6,Oui
04210224,SAINT SEINE L'ABBAYE T.C.,COTE D'OR,21440,SAINT SEINE L'ABBAYE,1,0,40,40,9,7,Oui
04210370,VILLAINES EN DUESMOIS T.C.,COTE D'OR,21450,VILLAINES EN DUESMOIS,1,0,19,21,6,7,Oui
04210185,EPOISSES T.C.,COTE D'OR,21460,EPOISSES,2,0,9,9,2,2,Non
04210128,BRAZEY EN PLAINE C.A.L.,COTE D'OR,21470,BRAZEY EN PLAINE,2,1,83,78,7,7,Oui
04210291,BELLEFOND T.C.,COTE D'OR,21490,BELLEFOND,2,0,31,41,4,4,Oui
04210151,NORGES LES BOIS T.C.,COTE D'OR,21490,NORGES,3,3,133,159,22,28,Oui
04210317,RUFFEY LES ECHIREY T.C.,COTE D'OR,21490,RUFFEY LES ECHIREY,2,0,69,69,6,9,Oui
04210269,SAINT JULIEN T.C.,COTE D'OR,21490,SAINT JULIEN,2,0,79,90,13,12,Oui
04210347,VAROIS ET CHAIGNOT A.S.C.,COTE D'OR,21490,VAROIS ET CHAIGNOT,2,1,52,104,10,12,Oui
04210014,MONTBARD A.G.,COTE D'OR,21500,MONTBARD,6,2,90,108,19,16,Oui
04210281,TOUILLON PETIT JAILLY T.C.,COTE D'OR,21500,TOUILLON,1,0,3,5,0,0,Oui
04210377,BLAISY COMPETITION T.C.,COTE D'OR,21540,BLAISY-BAS,2,0,53,42,8,8,Non
04210145,SOMBERNON T.C.,COTE D'OR,21540,SOMBERNON,2,0,24,36,3,3,Oui
04210140,ARC SUR TILLE T.C.,COTE D'OR,21560,ARC SUR TILLE,3,0,60,85,7,5,Oui
04210328,SANTENAY T.C.,COTE D'OR,21590,SANTENAY,2,0,17,17,2,2,Non
04210155,FENAY C.O.,COTE D'OR,21600,CHEVIGNY FENAY,4,1,137,150,26,27,Oui
04210112,LONGVIC A.L.C.,COTE D'OR,21600,LONGVIC,2,3,284,277,18,19,Oui
04210379,FONTAINE FRANCAISE TENNIS CLUB,COTE D'OR,21610,FONTAINE FRANCAISE,2,0,0,0,0,0,Non
04210179,VOUGEOT T.C.,COTE D'OR,21640,VOUGEOT,2,0,0,0,0,0,Oui
04210319,VERREY SOUS SALMAISE T.C.,COTE D'OR,21690,VERREY SOUS SALMAISE,2,0,18,21,5,6,Non
04210378,ARGILLY T.C.,COTE D'OR,21700,ARGILLY,2,0,46,58,4,5,Oui
04210101,NUITS SAINT GEORGES T.C.,COTE D'OR,21703,NUITS SAINT GEORGES CEDEX,3,1,99,105,12,13,Oui
04210004,CHEVIGNY TENNIS CLUB,COTE D'OR,21800,CHEVIGNY SAINT SAUVEUR,5,3,252,289,26,27,Oui
04210069,QUETIGNY A.S.,COTE D'OR,21800,QUETIGNY,7,3,90,105,12,11,Oui
04210007,SAINT APOLLINAIRE A.S.T.P.C.,COTE D'OR,21850,SAINT APOLLINAIRE,2,0,9,8,2,2,Oui
04210050,DIJON A.S.P.T.T.,COTE D'OR,21850,SAINT APOLLINAIRE,8,4,460,742,35,35,Oui
04210146,ST APOLLINAIRE T.C. LA FLEURIEE,COTE D'OR,21850,SAINT APOLLINAIRE,0,0,0,0,0,0,Oui
04210211,SAINT APOLLINAIRE A.S.C.,COTE D'OR,21850,SAINT APOLLINAIRE,4,0,61,42,7,7,Oui
04210239,SAULON LA CHAPELLE F.R.,COTE D'OR,21910,SAULON LA CHAPELLE,2,0,59,60,7,5,Oui
04580025,LA CHARITE SUR LOIRE U.S.,NIEVRE,18140,LA CHAPELLE MONTLINARD,4,1,114,114,20,28,Oui
04580026,NEVERS A.S.P.T.T.,NIEVRE,58000,NEVERS,4,2,259,302,29,32,Oui
04580027,NEVERS J.G.S.N.,NIEVRE,58000,NEVERS,3,0,40,48,3,10,Oui
04580028,NEVERS U.S.O.,NIEVRE,58000,SERMOISE,4,3,254,335,39,52,Oui
04580087,CHATEAU CHINON T.C.,NIEVRE,58120,CHATEAU CHINON,3,2,106,125,14,16,Oui
04580119,GUERIGNY URZY A.S.,NIEVRE,58130,GUERIGNY,3,0,95,92,12,13,Oui
04580258,MONTIGNY AUX AMOGNES T.C.,NIEVRE,58130,MONTIGNY AUX AMOGNES,2,0,85,121,12,17,Oui
04580170,LORMES U.S.,NIEVRE,58140,LORMES,2,1,95,101,12,13,Oui
