ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
05220700,SAINT BRIEUC AS MINISTERE AGRICULTURE,COTES D'ARMOR,22000,ST BRIEUC,0,0,6,6,0,0,Non
05220414,LANVALLAY TC DU GD LANVALLAY,COTES D'ARMOR,22100,LANVALLAY,0,1,148,123,20,22,Non
05220539,LEHON TC LA LEHONNAISE,COTES D'ARMOR,22100,LEHON,1,4,191,216,14,27,Oui
05220691,QUEVERT TENNIS CLUB QUEVERTOIS,COTES D'ARMOR,22100,QUEVERT,1,0,15,15,2,2,Oui
05220697,TENNIS CLUB TADEN DINAN,COTES D'ARMOR,22100,TADEN,1,5,241,306,20,25,Oui
05220151,ROSTRENEN TENNIS CLUB,COTES D'ARMOR,22110,ROSTRENEN,2,2,110,139,7,8,Oui
05220664,POMMERET AS TENNIS,COTES D'ARMOR,22120,POMMERET,0,1,32,45,5,6,Oui
05220626,QUESSOY TENNIS CLUB,COTES D'ARMOR,22120,QUESSOY,0,2,51,68,8,13,Oui
05220568,HILLION-YFFINIAC TC ,COTES D'ARMOR,22120,YFFINIAC,2,2,122,134,14,21,Oui
05220623,PLUDUNO UT3C ,COTES D'ARMOR,22130,CREHEN,1,2,5,10,1,1,Non
05220148,PLANCOET TENNIS CLUB,COTES D'ARMOR,22130,PLANCOET,2,2,199,207,16,20,Oui
05220355,BEGARD AMICALE LAIQUE,COTES D'ARMOR,22140,BEGARD,2,3,132,158,13,14,Oui
05220260,SAPINIERE TENNIS CLUB,COTES D'ARMOR,22170,SAINT JEAN KERDANIEL,2,3,42,50,4,4,Oui
05220215,PLERIN TENNIS CLUB,COTES D'ARMOR,22190,PLERIN,0,4,347,414,26,29,Oui
05220106,SAINT BRIEUC ASPTT,COTES D'ARMOR,22193,PLERIN CEDEX,0,2,109,108,14,17,Oui
05220595,GRACES TENNIS CLUB,COTES D'ARMOR,22200,GRACES,1,1,66,62,3,3,Oui
05220002,GUINGAMP TENNIS CLUB,COTES D'ARMOR,22200,GUINGAMP,0,2,96,117,7,6,Oui
05220701,PLOUISY TENNIS CLUB PLOUISYEN,COTES D'ARMOR,22200,PLOUISY,1,1,20,20,3,4,Oui
05220401,POMMERIT AT POMMERITAIN,COTES D'ARMOR,22200,POMMERIT LE VICOMTE,1,1,25,28,1,1,Oui
05220454,ST AGATHON/PABU ENTENTE TENNIS ,COTES D'ARMOR,22200,ST AGATHON,0,3,240,221,17,21,Oui
05220449,TREGUIER TREGOR T.C.,COTES D'ARMOR,22220,TREGUIER,2,1,214,199,19,19,Oui
05220424,MERDRIGNAC CS,COTES D'ARMOR,22230,MERDRIGNAC,1,1,42,47,6,7,Non
05220239,FREHEL TENNIS CLUB,COTES D'ARMOR,22240,FREHEL,8,1,19,18,2,2,Oui
05220696,SABLES D'OR LES PINS TENNIS CLUB,COTES D'ARMOR,22240,FREHEL,7,0,0,0,0,0,Non
05220218,BROONS TENNIS CLUB,COTES D'ARMOR,22250,BROONS,2,1,160,151,13,14,Oui
