ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
06180002,ARMEMENT A.S. ETABLISSEMENT ,CHER,18000,BOURGES,5,2,258,272,26,21,Oui
06180004,ENTENTE TENNIS BOURGES  ,CHER,18000,BOURGES,7,5,261,314,32,32,Oui
06180005,GAZELEC SPORTIF,CHER,18000,BOURGES,2,0,27,25,9,9,Oui
06180006,BOURGES TENNIS CLUB MUNICIPAL  ,CHER,18000,BOURGES,6,3,295,308,28,28,Oui
06180014,SPORTS ATHLETIQUES VIERZONNAIS ,CHER,18100,VIERZON,9,4,211,235,25,22,Oui
06180262,SAINT ELOY DE GY TENNIS CLUB,CHER,18110,SAINT ELOY DE GY,2,0,62,68,15,16,Oui
06180623,TENNIS CLUB SAINT MARTIN,CHER,18110,SAINT MARTIN D'AUXIGNY,2,0,68,62,12,10,Oui
06180778,ASSOCIATION SPORTIVE VASSELAYSIENNE,CHER,18110,VASSELAY,1,0,20,19,6,4,Non
06180775,TENNIS CLUB DE LAZENAY,CHER,18120,LAZENAY,1,0,3,5,0,0,Non
06180605,TENNIS CLUB DU VAL D'ARNON ,CHER,18120,LURY SUR ARNON,2,0,37,45,8,7,Oui
06180599,MASSAY TENNIS CLUB,CHER,18120,MASSAY,2,0,39,45,7,7,Oui
06180766,TENNIS CLUB DE MEREAU ,CHER,18120,MEREAU,2,0,59,53,7,6,Oui
06180322,TC MUNICIPAL DE PREUILLY,CHER,18120,PREUILLY,4,1,95,99,20,20,Oui
06180409,TENNIS CLUB DE QUINCY ,CHER,18120,QUINCY,2,0,21,22,5,4,Oui
06180138,TENNIS CLUB DES REMPARTS DE DUN,CHER,18130,DUN SUR AURON,3,0,98,88,15,12,Oui
06180708,OSMERY TENNIS CLUB,CHER,18130,OSMERY,1,0,20,0,1,0,Oui
06180781,USH TENNIS,CHER,18140,HERRY,1,0,8,13,0,0,Non
06180777,TENNIS CLUB DE SANCERGUES,CHER,18140,SANCERGUES,0,1,45,43,8,7,Oui
06180483,CLUB OMNISPORTS DE CUFFY ,CHER,18150,CUFFY,3,0,40,46,17,13,Oui
06180253,TENNIS CLUB LA GUERCHE SUR L'AUBOIS ,CHER,18150,LA GUERCHE SUR L'AUBOIS,2,1,76,89,13,15,Oui
06180324,TENNIS CLUB LIGNIEROIS,CHER,18160,LIGNIERES,2,0,46,57,13,13,Oui
06180541,TENNIS CLUB LE CHATELET,CHER,18170,LE CHATELET,2,0,5,11,0,0,Oui
06180427,TENNIS CLUB CASTELNEUVIENS,CHER,18190,CHATEAUNEUF,2,0,35,36,6,6,Oui
06180518,TENNIS CLUB D'ORVAL,CHER,18200,ORVAL,2,0,24,22,4,5,Oui
06180009,SPORTING CLUB SAINT AMAND TENNIS ,CHER,18200,ST AMAND MONTROND,4,2,189,205,25,29,Oui
06180146,TENNIS CLUB SAINT DOULCHARD ,CHER,18230,SAINT DOULCHARD,10,6,318,314,32,31,Oui
06180421,LA JEUNESSE SPORTIVE BOULLERET,CHER,18240,BOULLERET,2,1,35,37,10,7,Oui
06180501,T.C.DE LERE,CHER,18240,LERE,2,1,77,84,21,17,Oui
06180776,T.C. LA BALANCE - JARS LE NOYER ,CHER,18260,JARS,2,0,76,114,5,4,Oui
06180472,VAILLY TENNIS CLUB,CHER,18260,VAILLY SUR SAULDRE,1,0,40,44,9,4,Oui
06180513,A.S. CULAN SECTION TENNIS,CHER,18270,CULAN,2,0,10,9,3,4,Oui
06180685,PLOU UNION SPORTIVE,CHER,18290,PLOU,1,0,28,30,6,7,Non
06180012,T.C. SANCERRE SAINT-SATUR  ,CHER,18300,SAINT SATUR,5,2,141,156,24,23,Oui
06180433,CLUB COMMUNAL TENNIS GRACAY,CHER,18310,GRACAY,4,0,0,0,0,0,Oui
06180676,TENNIS CLUB BEFFOIS ,CHER,18320,BEFFES,2,0,30,43,5,4,Oui
06180580,T.C. MARSEILLES LES AUBIGNY,CHER,18320,MARSEILLES LES AUBIGNY,2,0,78,74,11,9,Oui
06180416,TC2N ,CHER,18330,NEUVY SUR BARANGEON,5,0,121,136,30,30,Oui
06180445,TENNIS CLUB DE LEVET ,CHER,18340,LEVET,2,0,56,78,7,5,Oui
06180780,COUNTRY TENNIS ET SQUASH CLUB DE BOURGES,CHER,18340,PLAIMPIED GIVAUDINS,1,0,7,8,2,1,Non
06180438,T.C. PLAIMPIED GIVAUDINS  ,CHER,18340,PLAIMPIED-GIVAUDINS,2,0,118,123,19,16,Oui
06180309,U.S. SAINT JUST (TENNIS),CHER,18340,ST JUST,1,0,5,5,0,0,Non
06180391,TENNIS CLUB DE NERONDES OUROUER,CHER,18350,NERONDES,1,1,51,59,5,4,Oui
06180341,TENNIS CLUB DE CHATEAUMEILLANT,CHER,18370,CHATEAUMEILLANT,2,1,0,0,0,0,Oui
06180607,TENNIS CLUB SAINT GERMINOIS ,CHER,18390,SAINT GERMAIN DU PUY,3,0,47,45,12,15,Oui
06180007,BOURGES ASPTT. ,CHER,18390,ST GERMAIN DU PUY,4,1,139,138,21,19,Oui
06180184,TENNIS CLUB DE ROSIERES,CHER,18400,LUNERY,2,0,36,37,9,9,Oui
06180011,FLORENTAISE UNION SPORTIVE ,CHER,18400,ST FLORENT SUR CHER,3,0,99,111,21,18,Oui
06180379,ARGENTAIS CLUB SPORTIF  ,CHER,18410,ARGENT SUR SAULDRE,3,1,27,33,9,11,Oui
06180454,TENNIS CLUB SOLOGNE,CHER,18410,BRINON SUR SAULDRE,2,1,20,30,2,3,Oui
06180316,A.S.L. ALLOUIS TENNIS ,CHER,18500,ALLOUIS,2,0,55,55,14,12,Oui
06180678,BERRY-BOUY TENNIS CLUB,CHER,18500,BERRY-BOUY,1,0,14,14,5,4,Non
06180538,MARMAGNE TENNIS CLUB,CHER,18500,MARMAGNE,2,0,32,55,8,18,Oui
06180192,TENNIS CLUB DE MEHUN ,CHER,18500,MEHUN SUR YEVRE,4,1,54,83,9,12,Oui
06180578,C.S. VIGNOUX SUR BARANGEON,CHER,18500,VIGNOUX SUR BARANGEON,2,0,29,33,5,6,Oui
06180630,C. DE TENNIS DE MENETOU SALON,CHER,18510,MENETOU-SALON,2,0,46,49,3,4,Oui
06180606,TENNIS CHAPELLOIS ,CHER,18570,LA CHAPELLE SAINT URSIN,2,1,112,130,17,16,Oui
06180468,TENNIS CLUB LE SUBDRAY,CHER,18570,LE SUBDRAY,2,0,31,33,8,7,Oui
06180396,MORTHOMIERS TENNIS CLUB,CHER,18570,MORTHOMIERS,2,0,20,0,1,0,Non
06180737,TENNIS CLUB TROUY ,CHER,18570,TROUY,2,0,15,24,4,3,Oui
06180010,TENNIS CLUB DE SANCOINS ,CHER,18600,SANCOINS,2,1,61,49,14,7,Oui
06180001,ES AUBIGNY TENNIS ,CHER,18700,AUBIGNY SUR NERE,4,0,89,88,17,20,Oui
06180429,CLUB TENNIS OIZON,CHER,18700,OIZON,2,0,9,23,4,4,Oui
06280017,TENNIS CLUB DE CHARTRES ,EURE ET LOIR,28000,CHARTRES,6,5,537,560,36,39,Oui
06280145,L'HORIZON DE BEAULIEU,EURE ET LOIR,28000,CHARTRES,2,0,19,21,1,2,Oui
06280196,CHARTRES MMA SPORT,EURE ET LOIR,28000,CHARTRES,2,1,13,14,5,4,Oui
06280197,MADELEINE SPORTS ET DETENTE ,EURE ET LOIR,28000,CHARTRES,2,3,201,234,12,18,Oui
06280020,DREUX ATHLETIC CLUB ,EURE ET LOIR,28100,DREUX,8,3,399,421,22,34,Oui
06280023,AMICALE DE LUCE ,EURE ET LOIR,28110,LUCE,5,5,318,349,27,38,Oui
06280149,UNIVERSITE POPULAIRE D'ILLIERS,EURE ET LOIR,28120,ILLIERS COMBRAY,2,1,120,133,8,11,Oui
06280609,AS. DES TENNIS DE HANCHES ,EURE ET LOIR,28130,HANCHES,2,0,95,99,6,11,Oui
06280247,ENTENTE SP. MAINTENON PIERRES ,EURE ET LOIR,28130,MAINTENON,1,1,152,176,12,12,Oui
06280626,E.S.C. DE MEVOISINS ,EURE ET LOIR,28130,MEVOISINS,2,0,35,32,0,4,Oui
06280375,VIGILANTE BOISVILLE LA ST PERE ,EURE ET LOIR,28150,BOISVILLE LA SAINT PERE,2,0,54,31,7,7,Oui
06280725,TENNIS CLUB OUARVILLE,EURE ET LOIR,28150,OUARVILLE,1,0,0,0,0,0,Oui
06280536,TENNIS CLUB VOVEEN ,EURE ET LOIR,28150,VOVES,2,0,95,89,6,9,Oui
06280744,ASSOCIATION TENNIS D'YMONVILLE,EURE ET LOIR,28150,YMONVILLE,1,0,0,8,0,0,Non
06280015,ETOILE DE BROU,EURE ET LOIR,28160,BROU,2,0,102,98,6,8,Oui
06280558,UNION SPORTIVE DE YEVRES ,EURE ET LOIR,28160,YEVRES,2,0,14,11,0,0,Oui
06280019,ASSOCIATION SPORTIVE THYMERAIS,EURE ET LOIR,28170,CHATEAUNEUF EN THYMERAIS,2,0,100,96,6,9,Oui
06280765,ASSOCIATION TENNIS CLUB TREMBLAY LES VILLAGES ,EURE ET LOIR,28170,TREMBLAY LES VILLAGES,1,0,3,11,1,2,Non
06280361,AMICALE COURVILLOISE ,EURE ET LOIR,28190,COURVILLE SUR EURE,2,1,129,133,10,7,Oui
06280611,METALOR CONTACT FRANCE,EURE ET LOIR,28190,COURVILLE SUR EURE,0,1,0,0,1,1,Non
06280650,TENNIS CLUB DE SAINT-LUPERCE,EURE ET LOIR,28190,SAINT LUPERCE,2,1,111,100,6,12,Oui
06280018,TENNIS CLUB DUNOIS  ,EURE ET LOIR,28200,CHATEAUDUN,3,2,277,303,18,23,Oui
06280244,T.C.M. LA CHAPELLE DU NOYER,EURE ET LOIR,28200,LA CHAPELLE DU NOYER,2,0,76,72,6,9,Oui
06280517,TENNIS CLUB PONTOIS,EURE ET LOIR,28200,SAINT DENIS LES PONTS,2,1,59,62,11,11,Oui
06280746,ASSOCIATION SPORTIVE DE THIVILLE,EURE ET LOIR,28200,THIVILLE,1,0,0,6,0,0,Non
06280025,ES NOGENT LE ROI TENNIS ,EURE ET LOIR,28210,NOGENT LE ROI,4,2,164,223,27,32,Oui
06280487,TENNIS CLUB DE VILLEMEUX,EURE ET LOIR,28210,VILLEMEUX SUR EURE,2,0,28,34,4,6,Oui
06280682,ASSOCIATION CLOYSIENNE DE TENNIS,EURE ET LOIR,28220,CLOYES SUR LE LOIR,4,0,75,89,6,10,Oui
06280151,AMICALE D'EPERNON  ,EURE ET LOIR,28230,EPERNON,5,4,376,389,21,32,Oui
