ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
16540044,NANCY LAWN,MEURTHE ET MOSELLE,54000,NANCY,4,2,299,343,2,4,Oui
16540206,NANCY CSAG,MEURTHE ET MOSELLE,54000,NANCY,2,1,126,151,6,11,Oui
16540048,NANCY ALERION TENNIS PARC,MEURTHE ET MOSELLE,54000,NANCY-MAXEVILLE,7,4,356,441,24,32,Oui
16540268,NANCY ORTF AS,MEURTHE ET MOSELLE,54039,NANCY CEDEX,1,0,1,2,0,2,Non
16540034,DOMBASLE TC,MEURTHE ET MOSELLE,54110,DOMBASLE,4,2,151,166,17,25,Oui
16540522,ROSIERES TC,MEURTHE ET MOSELLE,54110,ROSIERES AUX SALINES,2,0,15,33,3,4,Oui
16540279,SOMMERVILLER TC,MEURTHE ET MOSELLE,54110,SOMMERVILLER,1,2,46,52,6,3,Oui
16540085,BACCARAT TC,MEURTHE ET MOSELLE,54120,BACCARAT,3,1,105,166,10,13,Oui
16540054,SAINT MAX TC,MEURTHE ET MOSELLE,54130,SAINT MAX,2,1,169,190,15,18,Oui
16540222,MEXY TC,MEURTHE ET MOSELLE,54135,MEXY,2,1,54,61,13,16,Oui
16540217,BOUXIERES TENNIS BOUXIEROIS,MEURTHE ET MOSELLE,54136,BOUXIERES AUX DAMES,3,0,2,9,0,0,Oui
16540513,JARVILLE TSB,MEURTHE ET MOSELLE,54140,JARVILLE,2,2,232,217,24,31,Oui
16540089,BRIEY US,MEURTHE ET MOSELLE,54150,BRIEY,3,2,187,188,19,25,Oui
16540099,HEILLECOURT TC,MEURTHE ET MOSELLE,54180,HEILLECOURT,4,2,265,270,28,43,Oui
16540269,HOUDEMONT AS TC,MEURTHE ET MOSELLE,54180,HOUDEMONT,2,1,109,99,9,9,Oui
16540460,VILLERUPT TC,MEURTHE ET MOSELLE,54190,VILLERUPT,4,2,64,74,12,15,Oui
16540400,BRULEY TC,MEURTHE ET MOSELLE,54200,BRULEY,2,0,0,0,0,0,Oui
16540057,TOUL TC,MEURTHE ET MOSELLE,54200,DOMMARTIN LES TOUL,6,4,216,232,33,42,Oui
16540512,ECROUVES TC,MEURTHE ET MOSELLE,54200,ECROUVES,4,1,55,63,8,9,Oui
16540404,VILLEY SAINT ETIENNE TC,MEURTHE ET MOSELLE,54200,VILLEY ST ETIENNE,0,2,19,41,0,0,Oui
16540137,SAINT NICOLAS DE PORT TC PORTOIS,MEURTHE ET MOSELLE,54210,SAINT NICOLAS DE PORT,2,1,143,156,10,9,Oui
16540167,MALZEVILLE TC JO SCHLESSER,MEURTHE ET MOSELLE,54220,MALZEVILLE,4,2,160,190,15,21,Oui
16540148,CHALIGNY TC,MEURTHE ET MOSELLE,54230,CHALIGNY,5,1,31,35,1,1,Oui
16540049,NANCY SLUC,MEURTHE ET MOSELLE,54230,CHAVIGNY,4,2,36,53,5,8,Oui
16540122,JOEUF TC,MEURTHE ET MOSELLE,54240,JOEUF,3,1,132,143,14,22,Oui
16540497,CHAMPIGNEULLES TC,MEURTHE ET MOSELLE,54250,CHAMPIGNEULLES,3,2,231,240,18,21,Oui
16540036,LONGUYON ES LONGUYONNAISE,MEURTHE ET MOSELLE,54260,LONGUYON,2,2,65,68,8,11,Oui
16540154,ESSEY LES NANCY TC,MEURTHE ET MOSELLE,54270,ESSEY LES NANCY,4,2,180,179,19,28,Oui
16540417,CHAMPENOUX TC CAMPUSSIEN,MEURTHE ET MOSELLE,54280,CHAMPENOUX,2,1,107,86,18,22,Oui
16540370,PULNOY TC DU GREMILLON,MEURTHE ET MOSELLE,54280,SEICHAMPS,4,3,128,148,14,21,Oui
16540196,BAYON TC,MEURTHE ET MOSELLE,54290,BAYON,2,1,54,64,5,6,Oui
16540038,LUNEVILLE TC,MEURTHE ET MOSELLE,54300,LUNEVILLE,9,4,303,350,34,41,Oui
16540521,VEZELISE TC,MEURTHE ET MOSELLE,54330,VEZELISE,0,1,12,23,0,0,Non
16540052,POMPEY O.F.,MEURTHE ET MOSELLE,54340,POMPEY,3,2,60,66,12,16,Oui
16540303,MONT SAINT MARTIN USL TENNIS,MEURTHE ET MOSELLE,54350,MONT ST MARTIN,5,4,463,526,35,45,Oui
16540124,BLAINVILLE-DAMELEVIERES AS,MEURTHE ET MOSELLE,54360,DAMELEVIERES,2,2,171,167,21,31,Oui
16540419,MONT SUR MEURTHE TC MONTOIS,MEURTHE ET MOSELLE,54360,MONT SUR MEURTHE,1,0,43,56,2,6,Non
16540459,MAIXE FR,MEURTHE ET MOSELLE,54370,MAIXE,0,1,27,47,5,7,Oui
16540033,DIEULOUARD ESS,MEURTHE ET MOSELLE,54380,DIEULOUARD,4,2,128,141,25,28,Oui
16540037,LONGWY TC,MEURTHE ET MOSELLE,54400,LONGWY,6,2,62,64,10,12,Oui
16540226,LANEUVEVILLE AT,MEURTHE ET MOSELLE,54410,LANEUVEVILLE DT NANCY,2,2,267,278,25,33,Oui
