ClubID,Name,Ligue,Zip,City,Outdoor,Indoor,Players,Players-1AN,Teams,Teams-1AN,School?
302A0406,A.S.C.E.E.2A TENNIS,CORSE DU SUD,20000,AJACCIO,2,0,0,0,1,3,Non
302A0457,T.C.AJACCIO,CORSE DU SUD,20000,AJACCIO,6,0,174,263,4,9,Oui
302A0621,A.S. MILELLI ,CORSE DU SUD,20000,AJACCIO,5,0,40,80,0,2,Oui
302A0558,T.C.SARTENE ,CORSE DU SUD,20100,SARTENE,2,0,69,88,3,5,Oui
302A0482,T.C.PROPRIANO,CORSE DU SUD,20110,PROPRIANO,3,0,140,169,5,9,Oui
302A0719,TC PIANOTTOLI-CALDARELLO,CORSE DU SUD,20131,PIANOTOLLI CALDARELLO,2,0,49,60,2,2,Non
302A0459,RAQUETTE CLUB PORTO-VECCHIO ,CORSE DU SUD,20137,PORTO-VECCHIO,4,0,155,192,9,16,Oui
302A0717,TERRA BELLA TENNIS CLUB,CORSE DU SUD,20166,PORTICCIO,4,0,39,35,0,0,Non
302A0602,MEZZAVIA TENNIS CLUB ,CORSE DU SUD,20167,AJACCIO,6,0,261,318,14,20,Oui
302A0467,G.F.C.A.TENNIS,CORSE DU SUD,20167,MEZZAVIA,4,0,92,93,6,5,Non
302A0494,ASPTT AJACCIO TENNIS ,CORSE DU SUD,20167,SARROLA CARCOPINO,7,2,206,235,14,22,Oui
302A0720,BUNIFAZIU TC,CORSE DU SUD,20169,BONIFACIO,3,0,98,119,0,0,Non
302A0716,TC ALTA ROCCA ,CORSE DU SUD,20170,LEVIE,2,0,71,97,1,3,Oui
302B0184,A.S.P.T.T.BASTIA TENNIS,HAUTE CORSE,20200,BASTIA,4,0,124,112,1,0,Oui
302B0012,T.C. MIOMO ,HAUTE CORSE,20200,MIOMO,9,0,346,311,21,29,Oui
302B0718,RACING CLUB DE VILLE,HAUTE CORSE,20200,VILLE DI PIETRABUGNO,2,0,80,101,6,7,Oui
302B0309,TENNIS CLUB DE FOLELLI ,HAUTE CORSE,20213,Folelli,3,0,139,171,4,8,Oui
302B0004,A.S.C.MOLTIFAO,HAUTE CORSE,20218,MOLTIFAO,3,0,26,40,0,1,Oui
302B0121,T.C.ILE-ROUSSE ,HAUTE CORSE,20220,ILE-ROUSSE,4,0,87,57,2,1,Oui
302B0716,TC MONTICELLO,HAUTE CORSE,20220,MONTICELLO,4,0,84,114,1,0,Oui
302B0715,BRANDO TENNIS CLUB,HAUTE CORSE,20222,BRANDO,3,0,23,24,0,0,Oui
302B0139,T.C.COSTA VERDE,HAUTE CORSE,20230,SAN-NICOLAO,4,0,175,184,11,15,Oui
302B0720,TENNIS CLUB D'OLMETA,HAUTE CORSE,20232,OLMETA DI TUDA,1,0,12,35,0,0,Non
302B0005,FIUMORBU.T.C ,HAUTE CORSE,20243,PRUNELLI DI FIUMORBO,5,0,140,180,4,9,Oui
302B0299,A.S.J.E.P. ROGLIANO,HAUTE CORSE,20248,MACINAGGIO,2,0,29,48,1,2,Non
302B0282,T.C.CORTENAIS ,HAUTE CORSE,20250,CORTE,4,0,127,124,2,4,Oui
302B0119,T.C.CALVI,HAUTE CORSE,20260,CALVI,6,0,190,229,8,13,Oui
302B0215,T.C.ALERIA,HAUTE CORSE,20270,ALERIA,6,0,114,135,4,3,Oui
302B0226,G.F.C.B.L.TENNIS,HAUTE CORSE,20290,BORGO,2,0,1,2,0,0,Non
302B0255,OPEN TENNIS CLUB ,HAUTE CORSE,20600,BASTIA,4,0,281,300,10,16,Oui
